User_ID,Income,Expense,Savings,Debt_Payment,Transaction_Count
U1776,39348,17044,22304,13507,44
U1777,53714,33166,20548,7059,145
U1778,68102,61141,6961,18271,28
U1779,104460,67442,37018,12771,135
U1780,132634,55133,77501,17649,79
U1781,119930,94849,25081,7491,140
U1782,36801,16431,20370,14527,127
U1783,133150,58899,74251,17424,127
U1784,102267,79526,22741,14859,95
U1785,78136,54475,23661,8073,49
U1786,53625,21600,32025,9077,40
U1787,112873,67988,44885,19136,53
U1788,130843,78715,52128,11383,60
U1789,102592,90813,11779,16378,70
U1790,107052,48624,58428,2353,101
U1791,74261,37099,37162,4799,77
U1792,31542,13839,17703,17070,94
U1793,51677,23396,28281,11939,42
U1794,76732,29466,47266,2428,147
U1795,80343,40187,40156,11296,36
U1796,69081,58050,11031,7813,88
U1797,92856,43227,49629,14414,127
U1798,123105,63669,59436,11801,113
U1799,118858,61838,57020,11745,34
U1800,49065,24435,24630,13025,110
U1801,113460,100549,12911,3356,52
U1802,118092,43246,74846,14288,144
U1803,84693,53391,31302,6540,35
U1804,56962,39392,17570,16422,85
U1805,58295,45985,12310,3342,66
U1806,43807,15738,28069,9078,143
U1807,72348,39010,33338,2844,20
U1808,56432,19917,36515,10396,106
U1809,113285,72925,40360,17482,147
U1810,136995,67821,69174,18207,86
U1811,121792,55677,66115,13998,23
U1812,87854,31428,56426,13261,66
U1813,70262,43499,26763,19539,57
U1814,67080,41982,25098,3093,40
U1815,31324,15320,16004,11722,76
U1816,121267,84734,36533,19280,136
U1817,65909,58128,7781,11645,65
U1818,119339,43306,76033,15083,58
U1819,49870,20862,29008,988,118
U1820,64578,48277,16301,6446,96
U1821,102124,54030,48094,16335,134
U1822,147611,51837,95774,16133,110
U1823,133605,81759,51846,1682,117
U1824,56790,24163,32627,5626,139
U1825,148874,105417,43457,7424,65
U1826,55289,31463,23826,12857,57
U1827,85129,69669,15460,12155,119
U1828,123714,88113,35601,17317,91
U1829,124246,94205,30041,19982,54
U1830,45485,17070,28415,11425,49
U1831,74482,33687,40795,1980,97
U1832,116188,46698,69490,15522,103
U1833,34748,20721,14027,19440,132
U1834,116769,45815,70954,8984,44
U1835,39435,15709,23726,17175,107
U1836,33709,15288,18421,15883,33
U1837,60355,40043,20312,5390,121
U1838,85771,34192,51579,18639,102
U1839,87799,74562,13237,19994,129
U1840,43116,32767,10349,1607,38
U1841,55470,24183,31287,6573,47
U1842,72344,62884,9460,17368,90
U1843,72918,39732,33186,5776,82
U1844,82224,52033,30191,3676,92
U1845,69298,52216,17082,3380,143
U1846,138492,119005,19487,8711,138
U1847,110219,94760,15459,8782,140
U1848,91629,49446,42183,17434,38
U1849,96040,74494,21546,13997,139
U1850,129518,55909,73609,6342,80
U1851,129835,64066,65769,17343,49
U1852,58016,38165,19851,6059,28
U1853,53960,25312,28648,8884,83
U1854,63591,22645,40946,5655,139
U1855,112848,73263,39585,12091,71
U1856,133333,114057,19276,19330,108
U1857,141732,63400,78332,15251,72
U1858,144821,108689,36132,526,97
U1859,97641,69705,27936,3224,60
U1860,66395,28224,38171,15069,87
U1861,141276,81744,59532,11536,27
U1862,52700,19926,32774,13547,21
U1863,64620,26348,38272,18259,124
U1864,133214,63459,69755,1763,144
U1865,50559,44746,5813,8712,129
U1866,123045,70863,52182,5797,105
U1867,123396,108075,15321,9208,139
U1868,91642,51551,40091,5109,146
U1869,106539,54554,51985,16500,35
U1870,51732,38898,12834,2433,81
U1871,121362,86002,35360,16967,132
U1872,60354,33012,27342,4167,31
U1873,43843,26599,17244,17773,54
U1874,140008,60444,79564,8357,30
U1875,144065,96711,47354,6154,83
U1876,101726,89351,12375,8920,69
U1877,47640,21233,26407,18427,88
U1878,82528,45083,37445,19880,67
U1879,68413,31235,37178,17162,39
U1880,82638,69851,12787,213,120
U1881,82736,29069,53667,3762,87
U1882,137892,67843,70049,13399,54
U1883,140133,108768,31365,9768,84
U1884,136357,64247,72110,10640,27
U1885,98866,36027,62839,6731,64
U1886,49087,36513,12574,19501,106
U1887,71430,44552,26878,5791,95
U1888,54504,44168,10336,15822,95
U1889,37114,23797,13317,8783,66
U1890,108859,76911,31948,13621,34
U1891,129657,68999,60658,16019,124
U1892,40975,20602,20373,2720,45
U1893,41023,15245,25778,8905,71
U1894,51447,37494,13953,9127,112
U1895,120469,68213,52256,16385,40
U1896,53959,31138,22821,6368,70
U1897,96203,52661,43542,14056,57
U1898,149156,60050,89106,12236,39
U1899,59703,45923,13780,18333,74
U1900,39337,20199,19138,14451,111
U1901,76427,30514,45913,17301,47
U1902,91529,47985,43544,19558,23
U1903,132023,91478,40545,10433,95
U1904,114665,49873,64792,15525,86
U1905,135787,70456,65331,89,105
U1906,61921,45252,16669,18093,110
U1907,63307,37323,25984,10361,124
U1908,57355,39219,18136,16369,20
U1909,133268,72634,60634,3041,91
U1910,34835,17980,16855,105,106
U1911,50159,17756,32403,9078,25
U1912,134346,102333,32013,18279,80
U1913,77605,37722,39883,6090,31
U1914,135616,64366,71250,6082,25
U1915,68088,53850,14238,17018,46
U1916,108752,63980,44772,1925,143
U1917,85284,31837,53447,18440,125
U1918,87043,74970,12073,6917,112
U1919,65547,37197,28350,19528,128
U1920,127007,72682,54325,552,118
U1921,112844,79425,33419,3911,54
U1922,57532,47146,10386,3389,103
U1923,64349,45147,19202,13629,75
U1924,148012,83892,64120,2430,68
U1925,75445,40519,34926,458,65
U1926,35713,20898,14815,13395,132
U1927,86178,68563,17615,207,62
U1928,79407,33547,45860,899,143
U1929,100340,45944,54396,11653,116
U1930,80990,51039,29951,16405,109
U1931,105672,41102,64570,8601,58
U1932,95545,58169,37376,894,104
U1933,114791,72358,42433,514,81
U1934,88141,59739,28402,4109,125
U1935,53793,48167,5626,13258,126
U1936,86570,31817,54753,15313,73
U1937,125084,74728,50356,15349,145
U1938,67892,46309,21583,7179,28
U1939,31015,27201,3814,10326,107
U1940,91813,34734,57079,11787,56
U1941,57712,33436,24276,1560,68
U1942,130497,110292,20205,13612,60
U1943,38415,16999,21416,17650,36
U1944,141854,76638,65216,19811,107
U1945,142816,66178,76638,4780,40
U1946,92292,62411,29881,18311,70
U1947,53833,38074,15759,11894,78
U1948,34158,27208,6950,2356,60
U1949,92680,48631,44049,4790,58
U1950,50309,19350,30959,16690,30
U1951,36970,14245,22725,10181,96
U1952,102474,39714,62760,7057,146
U1953,116704,53206,63498,16082,65
U1954,76540,56020,20520,661,64
U1955,50384,30666,19718,4644,20
U1956,48017,21000,27017,15711,127
U1957,105880,91388,14492,2920,38
U1958,135570,99156,36414,16002,95
U1959,38702,32234,6468,14025,91
U1960,30384,18253,12131,8946,128
U1961,30404,19921,10483,12732,31
U1962,70943,27472,43471,6236,64
U1963,77926,69411,8515,16309,109
U1964,59189,35012,24177,13518,122
U1965,42763,37760,5003,352,27
U1966,48384,32372,16012,7005,110
U1967,90100,79976,10124,14036,106
U1968,128142,47843,80299,16542,103
U1969,39860,29177,10683,956,101
U1970,134293,48815,85478,2071,87
U1971,110642,66215,44427,8595,146
U1972,80612,47059,33553,15140,101
U1973,53574,39254,14320,12803,103
U1974,53524,41241,12283,3453,132
U1975,99172,75953,23219,6675,95
U1976,40916,18716,22200,955,141
U1977,34809,21466,13343,6295,60
U1978,62201,35088,27113,15921,21
U1979,83330,46365,36965,18096,48
U1980,43456,38897,4559,15282,124
U1981,143748,115929,27819,4703,70
U1982,86397,32158,54239,6563,94
U1983,68765,35750,33015,12003,29
U1984,64816,34021,30795,10817,70
U1985,75106,41883,33223,11171,137
U1986,83932,31469,52463,12582,140
U1987,47100,29390,17710,12201,58
U1988,87091,54832,32259,17778,47
U1989,51949,26549,25400,12473,22
U1990,100080,40313,59767,9461,103
U1991,67744,40463,27281,15596,136
U1992,75543,44925,30618,529,21
U1993,138319,68285,70034,19342,112
U1994,122193,93698,28495,19975,113
U1995,66187,30839,35348,12765,59
U1996,142734,100472,42262,13910,21
U1997,37239,16709,20530,11561,100
U1998,44489,17997,26492,9131,31
U1999,144937,119225,25712,525,84
